CodCurso;NomeCurso;Ano;Periodo;Vinculados;Matriculados;Ingressantes;Diplomados;Evadidos
331;GEOGRAFIA;2012;2;443;372;45;27;25
332;GEOLOGIA;2012;2;247;234;0;30;5
333;HISTÓRIA;2012;2;700;560;35;52;45
908;HISTÓRIA DA ARTE;2012;2;79;67;5;0;2
1489;JORNALISMO;2012;2;60;57;20;0;0
334;LETRAS;2012;2;1182;950;4;63;72
803;LETRAS - INGLÊS - ENSINO A DISTÂNCIA - EAD;2012;2;33;31;0;0;1
335;MATEMÁTICA;2012;2;579;450;64;29;73
800;MATEMÁTICA - ENSINO A DISTÂNCIA - EAD;2012;2;14;14;0;13;0
336;MEDICINA;2012;2;868;856;69;77;2
337;MEDICINA VETERINÁRIA;2012;2;548;523;49;49;12
731;MUSEOLOGIA;2012;2;129;114;0;7;5
338;MÚSICA;2012;2;286;241;3;24;10
673;MÚSICA - ENSINO A DISTÂNCIA - EAD;2012;2;94;0;0;0;93
339;NUTRIÇÃO;2012;2;252;234;28;18;2
340;ODONTOLOGIA;2012;2;550;527;73;51;9
341;PEDAGOGIA;2012;2;554;470;44;31;25
914;POLÍTICAS PÚBLICAS;2012;2;140;111;9;0;6
342;PSICOLOGIA;2012;2;424;379;41;45;10
343;QUÍMICA;2012;2;563;481;97;21;45
357;RELAÇÕES INTERNACIONAIS;2012;2;246;226;0;24;9
1490;RELAÇÕES PÚBLICAS;2012;2;66;64;20;0;0
806;SAÚDE COLETIVA;2012;2;197;156;37;3;9
907;SERVIÇO SOCIAL;2012;2;85;83;2;0;0
302;TEATRO;2012;2;182;157;1;22;8
676;TECNOLOGIA EM DESENVOLVIMENTO RURAL - EAD;2012;2;167;163;0;0;5
1071;ZOOTECNIA;2012;2;45;42;22;0;1
298;ADMINISTRAÇÃO;2013;1;1712;1525;194;86;44
299;AGRONOMIA;2013;1;498;449;50;22;16
300;ARQUITETURA E URBANISMO;2013;1;615;589;57;38;14
301;ARQUIVOLOGIA;2013;1;166;144;30;2;3
303;ARTES VISUAIS;2013;1;631;521;103;3;29
801;ARTES VISUAIS - ENSINO A DISTÂNCIA - EAD;2013;1;1;0;0;0;1
304;BIBLIOTECONOMIA;2013;1;391;343;44;22;15
361;BIOMEDICINA;2013;1;162;149;36;1;7
910;BIOTECNOLOGIA;2013;1;107;97;31;0;5
305;CIÊNCIA DA COMPUTAÇÃO;2013;1;627;578;79;23;24
306;CIÊNCIAS ATUARIAIS;2013;1;248;217;41;13;14
307;CIÊNCIAS BIOLÓGICAS;2013;1;614;527;64;20;34
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2013;1;68;63;0;0;1
802;CIÊNCIAS BIOLÓGICAS - ENSINO A DISTANCIA - EAD;2013;1;19;0;0;19;0
308;CIÊNCIAS CONTÁBEIS;2013;1;823;740;89;48;17
309;CIÊNCIAS ECONÔMICAS;2013;1;835;727;96;45;41
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2013;1;961;898;152;2;10
312;CIÊNCIAS SOCIAIS;2013;1;1183;936;222;30;61
313;COMUNICAÇÃO SOCIAL;2013;1;634;585;38;41;19
805;DANÇA;2013;1;133;119;29;1;2
524;DESIGN;2013;1;158;133;10;7;12
1481;DESIGN DE PRODUTO;2013;1;111;110;20;0;0
1482;DESIGN VISUAL;2013;1;107;105;19;0;0
314;EDUCAÇÃO FÍSICA;2013;1;791;673;79;20;21
315;ENFERMAGEM;2013;1;485;458;56;39;12
526;ENGENHARIA AMBIENTAL;2013;1;182;172;32;6;8
316;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;2013;1;188;154;41;2;18
317;ENGENHARIA CIVIL;2013;1;1042;978;91;47;17
319;ENGENHARIA DE ALIMENTOS;2013;1;187;167;34;0;6
318;ENGENHARIA DE COMPUTAÇÃO;2013;1;292;279;31;10;10
714;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;2013;1;152;144;32;0;4
909;ENGENHARIA DE ENERGIA;2013;1;100;92;36;0;3
320;ENGENHARIA DE MATERIAIS;2013;1;215;193;46;7;10
321;ENGENHARIA DE MINAS;2013;1;179;161;32;6;10
322;ENGENHARIA DE PRODUÇÃO;2013;1;377;354;41;30;9
323;ENGENHARIA ELÉTRICA;2013;1;524;478;48;28;22
911;ENGENHARIA FÍSICA;2013;1;114;111;38;0;6
1077;ENGENHARIA HÍDRICA;2013;1;23;23;2;0;0
324;ENGENHARIA MECÂNICA;2013;1;750;688;68;37;21
325;ENGENHARIA METALÚRGICA;2013;1;358;318;79;10;21
326;ENGENHARIA QUÍMICA;2013;1;436;413;52;19;12
327;ESTATÍSTICA;2013;1;203;161;45;5;18
328;FARMÁCIA;2013;1;795;640;54;51;70
329;FILOSOFIA;2013;1;394;313;94;3;27
330;FÍSICA;2013;1;602;456;121;22;54
1764;FÍSICA - LICENCIATURA;2013;1;9;8;1;0;0
812;FISIOTERAPIA;2013;1;145;139;32;0;2
730;FONOAUDIOLOGIA;2013;1;125;119;32;0;3
331;GEOGRAFIA;2013;1;456;391;55;11;27
332;GEOLOGIA;2013;1;257;246;45;0;6
333;HISTÓRIA;2013;1;781;640;152;4;35
908;HISTÓRIA DA ARTE;2013;1;112;102;35;0;5
1489;JORNALISMO;2013;1;81;78;21;0;0
334;LETRAS;2013;1;1261;1046;215;47;70
803;LETRAS - INGLÊS - ENSINO A DISTÂNCIA - EAD;2013;1;32;0;0;31;0
335;MATEMÁTICA;2013;1;575;431;100;20;59
800;MATEMÁTICA - ENSINO A DISTÂNCIA - EAD;2013;1;1;0;0;0;0
336;MEDICINA;2013;1;862;857;73;68;1
337;MEDICINA VETERINÁRIA;2013;1;533;513;46;30;4
731;MUSEOLOGIA;2013;1;146;132;29;3;6
338;MÚSICA;2013;1;317;276;65;4;12
673;MÚSICA - ENSINO A DISTÂNCIA - EAD;2013;1;1;0;0;0;0
339;NUTRIÇÃO;2013;1;263;242;31;7;3
340;ODONTOLOGIA;2013;1;536;508;46;31;14
341;PEDAGOGIA;2013;1;565;478;67;29;19
914;POLÍTICAS PÚBLICAS;2013;1;185;158;51;0;2
342;PSICOLOGIA;2013;1;435;388;66;8;16
343;QUÍMICA;2013;1;577;496;80;17;45
357;RELAÇÕES INTERNACIONAIS;2013;1;273;260;60;1;7
1490;RELAÇÕES PÚBLICAS;2013;1;92;91;26;0;0
806;SAÚDE COLETIVA;2013;1;227;190;42;11;13
907;SERVIÇO SOCIAL;2013;1;119;112;34;0;1
302;TEATRO;2013;1;195;172;43;4;3
676;TECNOLOGIA EM DESENVOLVIMENTO RURAL - EAD;2013;1;162;161;0;0;0
1071;ZOOTECNIA;2013;1;70;58;26;0;1
298;ADMINISTRAÇÃO;2013;2;1771;1558;189;104;52
299;AGRONOMIA;2013;2;509;465;50;23;16
300;ARQUITETURA E URBANISMO;2013;2;619;592;56;34;10
301;ARQUIVOLOGIA;2013;2;165;134;4;7;8
303;ARTES VISUAIS;2013;2;616;505;18;57;18
304;BIBLIOTECONOMIA;2013;2;393;339;40;29;10
361;BIOMEDICINA;2013;2;155;143;1;28;7
910;BIOTECNOLOGIA;2013;2;106;94;4;6;12
305;CIÊNCIA DA COMPUTAÇÃO;2013;2;616;567;37;33;24
306;CIÊNCIAS ATUARIAIS;2013;2;231;190;10;9;16
307;CIÊNCIAS BIOLÓGICAS;2013;2;623;536;61;40;25
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2013;2;87;81;20;7;2
308;CIÊNCIAS CONTÁBEIS;2013;2;837;726;81;63;23
309;CIÊNCIAS ECONÔMICAS;2013;2;832;711;83;47;37
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2013;2;1159;1093;211;116;19
312;CIÊNCIAS SOCIAIS;2013;2;1126;831;37;65;78
313;COMUNICAÇÃO SOCIAL;2013;2;606;565;34;74;22
805;DANÇA;2013;2;133;119;3;7;5
524;DESIGN;2013;2;149;121;10;17;11
1481;DESIGN DE PRODUTO;2013;2;129;126;18;0;0
1482;DESIGN VISUAL;2013;2;124;121;17;0;0
314;EDUCAÇÃO FÍSICA;2013;2;865;728;116;55;34
315;ENFERMAGEM;2013;2;486;453;52;43;11
526;ENGENHARIA AMBIENTAL;2013;2;170;160;2;11;9
316;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;2013;2;171;138;3;1;9
317;ENGENHARIA CIVIL;2013;2;1067;1004;89;54;33
319;ENGENHARIA DE ALIMENTOS;2013;2;189;164;8;7;14
318;ENGENHARIA DE COMPUTAÇÃO;2013;2;303;290;31;11;6
714;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;2013;2;149;140;1;4;6
909;ENGENHARIA DE ENERGIA;2013;2;103;98;6;0;8
320;ENGENHARIA DE MATERIAIS;2013;2;206;174;8;10;10
321;ENGENHARIA DE MINAS;2013;2;174;152;11;5;6
322;ENGENHARIA DE PRODUÇÃO;2013;2;370;353;32;24;5
323;ENGENHARIA ELÉTRICA;2013;2;528;488;54;19;17
911;ENGENHARIA FÍSICA;2013;2;116;110;8;0;8
1077;ENGENHARIA HÍDRICA;2013;2;48;47;25;0;4
324;ENGENHARIA MECÂNICA;2013;2;762;689;71;41;21
325;ENGENHARIA METALÚRGICA;2013;2;347;299;20;17;25
326;ENGENHARIA QUÍMICA;2013;2;454;432;50;16;10
327;ESTATÍSTICA;2013;2;196;150;16;13;18
328;FARMÁCIA;2013;2;758;644;74;49;41
329;FILOSOFIA;2013;2;385;263;22;17;37
330;FÍSICA;2013;2;570;399;44;13;68
1764;FÍSICA - LICENCIATURA;2013;2;11;10;2;0;0
812;FISIOTERAPIA;2013;2;143;135;0;16;3
730;FONOAUDIOLOGIA;2013;2;128;117;6;20;2
331;GEOGRAFIA;2013;2;466;395;49;22;26
332;GEOLOGIA;2013;2;255;243;4;23;4
333;HISTÓRIA;2013;2;766;587;23;39;40
908;HISTÓRIA DA ARTE;2013;2;109;90;2;5;4
1489;JORNALISMO;2013;2;102;100;21;0;0
334;LETRAS;2013;2;1147;934;4;66;85
803;LETRAS - INGLÊS - ENSINO A DISTÂNCIA - EAD;2013;2;1;0;0;0;0
335;MATEMÁTICA;2013;2;564;414;68;20;55
800;MATEMÁTICA - ENSINO A DISTÂNCIA - EAD;2013;2;1;0;0;0;0
336;MEDICINA;2013;2;868;864;76;68;0
337;MEDICINA VETERINÁRIA;2013;2;547;518;48;44;2
731;MUSEOLOGIA;2013;2;143;128;6;15;2
338;MÚSICA;2013;2;303;265;3;22;10
673;MÚSICA - ENSINO A DISTÂNCIA - EAD;2013;2;1;0;0;0;0
339;NUTRIÇÃO;2013;2;285;263;32;15;6
340;ODONTOLOGIA;2013;2;562;540;71;40;14
341;PEDAGOGIA;2013;2;587;505;73;36;23
914;POLÍTICAS PÚBLICAS;2013;2;185;151;2;12;9
342;PSICOLOGIA;2013;2;441;393;30;40;15
343;QUÍMICA;2013;2;635;554;120;28;37
357;RELAÇÕES INTERNACIONAIS;2013;2;266;247;1;33;9
1490;RELAÇÕES PÚBLICAS;2013;2;114;112;22;0;0
806;SAÚDE COLETIVA;2013;2;237;201;34;12;11
907;SERVIÇO SOCIAL;2013;2;118;104;0;0;3
302;TEATRO;2013;2;189;154;1;21;9
676;TECNOLOGIA EM DESENVOLVIMENTO RURAL - EAD;2013;2;162;161;0;147;2
1071;ZOOTECNIA;2013;2;91;76;22;0;4
298;ADMINISTRAÇÃO;2014;1;1796;1589;181;82;57
299;AGRONOMIA;2014;1;521;477;51;26;15
300;ARQUITETURA E URBANISMO;2014;1;640;618;65;33;12
301;ARQUIVOLOGIA;2014;1;186;151;36;7;8
303;ARTES VISUAIS;2014;1;638;512;96;1;29
1289;BACHARELADO EM DESENVOLVIMENTO RURAL - EAD;2014;1;406;406;406;0;1
304;BIBLIOTECONOMIA;2014;1;397;343;43;11;9
361;BIOMEDICINA;2014;1;159;149;39;1;3
910;BIOTECNOLOGIA;2014;1;120;113;32;0;3
305;CIÊNCIA DA COMPUTAÇÃO;2014;1;660;601;101;24;19
306;CIÊNCIAS ATUARIAIS;2014;1;256;217;50;13;13
307;CIÊNCIAS BIOLÓGICAS;2014;1;638;553;71;30;26
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2014;1;78;67;0;0;7
308;CIÊNCIAS CONTÁBEIS;2014;1;843;721;92;47;22
309;CIÊNCIAS ECONÔMICAS;2014;1;841;720;94;41;39
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2014;1;1174;1107;150;7;19
312;CIÊNCIAS SOCIAIS;2014;1;1179;888;192;24;80
313;COMUNICAÇÃO SOCIAL;2014;1;543;505;33;35;21
805;DANÇA;2014;1;154;134;33;1;2
524;DESIGN;2014;1;127;95;6;3;13
1481;DESIGN DE PRODUTO;2014;1;151;147;22;0;0
1482;DESIGN VISUAL;2014;1;143;142;19;0;0
314;EDUCAÇÃO FÍSICA;2014;1;875;752;99;41;34
315;ENFERMAGEM;2014;1;490;462;58;39;9
526;ENGENHARIA AMBIENTAL;2014;1;187;178;37;7;1
316;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;2014;1;196;156;35;2;12
317;ENGENHARIA CIVIL;2014;1;1065;1015;85;35;27
319;ENGENHARIA DE ALIMENTOS;2014;1;207;179;39;0;9
318;ENGENHARIA DE COMPUTAÇÃO;2014;1;338;321;52;16;16
714;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;2014;1;176;169;37;2;5
909;ENGENHARIA DE ENERGIA;2014;1;131;123;36;0;5
320;ENGENHARIA DE MATERIAIS;2014;1;231;205;45;12;12
321;ENGENHARIA DE MINAS;2014;1;200;179;37;10;15
322;ENGENHARIA DE PRODUÇÃO;2014;1;393;373;52;25;11
323;ENGENHARIA ELÉTRICA;2014;1;536;483;44;20;23
911;ENGENHARIA FÍSICA;2014;1;147;139;39;1;10
1077;ENGENHARIA HÍDRICA;2014;1;44;41;0;0;0
324;ENGENHARIA MECÂNICA;2014;1;782;713;82;14;26
325;ENGENHARIA METALÚRGICA;2014;1;372;323;67;13;26
326;ENGENHARIA QUÍMICA;2014;1;495;474;67;11;9
327;ESTATÍSTICA;2014;1;207;168;42;2;15
328;FARMÁCIA;2014;1;753;635;68;39;41
329;FILOSOFIA;2014;1;421;297;87;2;35
330;FÍSICA;2014;1;610;449;122;14;72
1764;FÍSICA - LICENCIATURA;2014;1;16;15;5;0;0
812;FISIOTERAPIA;2014;1;160;150;36;0;3
730;FONOAUDIOLOGIA;2014;1;135;123;29;0;6
331;GEOGRAFIA;2014;1;462;385;39;17;17
332;GEOLOGIA;2014;1;265;246;37;0;8
333;HISTÓRIA;2014;1;824;650;119;7;45
908;HISTÓRIA DA ARTE;2014;1;130;109;30;0;3
1489;JORNALISMO;2014;1;124;120;22;0;0
334;LETRAS;2014;1;1208;1033;213;56;67
803;LETRAS - INGLÊS - ENSINO A DISTÂNCIA - EAD;2014;1;1;0;0;0;0
335;MATEMÁTICA;2014;1;588;434;99;23;67
800;MATEMÁTICA - ENSINO A DISTÂNCIA - EAD;2014;1;1;0;0;0;0
336;MEDICINA;2014;1;877;871;77;54;0
337;MEDICINA VETERINÁRIA;2014;1;571;545;70;28;4
731;MUSEOLOGIA;2014;1;160;140;34;2;3
338;MÚSICA;2014;1;342;306;71;4;9
673;MÚSICA - ENSINO A DISTÂNCIA - EAD;2014;1;1;0;0;0;1
339;NUTRIÇÃO;2014;1;297;275;33;13;7
340;ODONTOLOGIA;2014;1;564;538;56;47;9
341;PEDAGOGIA;2014;1;593;498;66;40;26
914;POLÍTICAS PÚBLICAS;2014;1;213;185;49;1;10
342;PSICOLOGIA;2014;1;432;373;46;3;22
343;QUÍMICA;2014;1;644;538;74;15;42
357;RELAÇÕES INTERNACIONAIS;2014;1;285;261;61;4;7
1490;RELAÇÕES PÚBLICAS;2014;1;136;133;22;0;0
806;SAÚDE COLETIVA;2014;1;246;211;32;12;16
907;SERVIÇO SOCIAL;2014;1;148;138;33;7;0
302;TEATRO;2014;1;205;175;46;4;5
676;TECNOLOGIA EM DESENVOLVIMENTO RURAL - EAD;2014;1;13;0;0;0;0
1071;ZOOTECNIA;2014;1;115;99;28;0;4
298;ADMINISTRAÇÃO;2014;2;1840;1603;183;105;73
299;AGRONOMIA;2014;2;524;478;44;33;14
300;ARQUITETURA E URBANISMO;2014;2;647;618;52;29;10
301;ARQUIVOLOGIA;2014;2;171;127;1;12;14
303;ARTES VISUAIS;2014;2;612;482;4;48;34
1289;BACHARELADO EM DESENVOLVIMENTO RURAL - EAD;2014;2;437;371;32;0;131
304;BIBLIOTECONOMIA;2014;2;421;356;44;33;27
361;BIOMEDICINA;2014;2;158;146;3;32;7
910;BIOTECNOLOGIA;2014;2;119;106;2;14;10
305;CIÊNCIA DA COMPUTAÇÃO;2014;2;656;582;39;19;23
306;CIÊNCIAS ATUARIAIS;2014;2;239;180;9;10;9
307;CIÊNCIAS BIOLÓGICAS;2014;2;637;548;52;36;32
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2014;2;91;86;20;10;3
308;CIÊNCIAS CONTÁBEIS;2014;2;855;725;81;52;25
309;CIÊNCIAS ECONÔMICAS;2014;2;859;711;98;56;44
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2014;2;1372;1296;224;132;22
312;CIÊNCIAS SOCIAIS;2014;2;1120;832;45;56;76
313;COMUNICAÇÃO SOCIAL;2014;2;519;480;32;92;15
805;DANÇA;2014;2;155;130;4;12;4
524;DESIGN;2014;2;120;89;9;15;12
1481;DESIGN DE PRODUTO;2014;2;173;166;22;0;0
1482;DESIGN VISUAL;2014;2;164;161;21;0;0
1330;EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA - LITORAL;2014;2;46;46;46;0;0
1336;EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA - PORTO ALEGRE;2014;2;24;24;24;0;0
314;EDUCAÇÃO FÍSICA;2014;2;902;769;102;68;42
315;ENFERMAGEM;2014;2;493;459;51;38;9
526;ENGENHARIA AMBIENTAL;2014;2;182;170;3;22;4
316;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;2014;2;192;142;10;9;13
317;ENGENHARIA CIVIL;2014;2;1105;1049;102;61;23
319;ENGENHARIA DE ALIMENTOS;2014;2;204;171;6;16;19
318;ENGENHARIA DE COMPUTAÇÃO;2014;2;341;319;35;28;12
714;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;2014;2;170;166;1;13;3
909;ENGENHARIA DE ENERGIA;2014;2;129;119;3;0;12
320;ENGENHARIA DE MATERIAIS;2014;2;214;186;7;12;12
321;ENGENHARIA DE MINAS;2014;2;182;161;7;7;15
322;ENGENHARIA DE PRODUÇÃO;2014;2;392;371;35;20;6
323;ENGENHARIA ELÉTRICA;2014;2;539;488;46;24;32
911;ENGENHARIA FÍSICA;2014;2;139;124;3;2;12
1077;ENGENHARIA HÍDRICA;2014;2;69;64;25;0;3
324;ENGENHARIA MECÂNICA;2014;2;815;745;73;31;32
325;ENGENHARIA METALÚRGICA;2014;2;348;293;15;20;30
326;ENGENHARIA QUÍMICA;2014;2;540;510;65;24;9
327;ESTATÍSTICA;2014;2;202;155;12;9;15
328;FARMÁCIA;2014;2;741;618;63;21;49
329;FILOSOFIA;2014;2;403;276;19;20;28
330;FÍSICA;2014;2;567;404;43;9;73
1764;FÍSICA - LICENCIATURA;2014;2;21;18;5;0;0
812;FISIOTERAPIA;2014;2;157;148;0;13;1
730;FONOAUDIOLOGIA;2014;2;134;118;5;16;3
331;GEOGRAFIA;2014;2;482;393;52;32;30
332;GEOLOGIA;2014;2;264;247;7;25;11
333;HISTÓRIA;2014;2;798;600;25;45;60
908;HISTÓRIA DA ARTE;2014;2;132;100;5;4;3
1332;INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA - LITORAL NORTE;2014;2;73;73;73;0;0
1489;JORNALISMO;2014;2;152;147;28;0;0
334;LETRAS;2014;2;1088;923;3;58;44
803;LETRAS - INGLÊS - ENSINO A DISTÂNCIA - EAD;2014;2;1;0;0;0;0
335;MATEMÁTICA;2014;2;566;400;68;18;62
800;MATEMÁTICA - ENSINO A DISTÂNCIA - EAD;2014;2;1;0;0;0;0
336;MEDICINA;2014;2;892;883;69;64;2
337;MEDICINA VETERINÁRIA;2014;2;586;557;47;44;8
731;MUSEOLOGIA;2014;2;156;129;1;14;11
338;MÚSICA;2014;2;330;289;1;29;12
339;NUTRIÇÃO;2014;2;306;279;29;21;7
340;ODONTOLOGIA;2014;2;584;560;76;36;10
341;PEDAGOGIA;2014;2;599;506;72;56;31
914;POLÍTICAS PÚBLICAS;2014;2;205;163;3;12;12
342;PSICOLOGIA;2014;2;440;388;33;36;12
343;QUÍMICA;2014;2;688;571;101;28;41
357;RELAÇÕES INTERNACIONAIS;2014;2;274;252;0;34;6
1490;RELAÇÕES PÚBLICAS;2014;2;165;156;29;0;0
806;SAÚDE COLETIVA;2014;2;249;204;31;10;11
907;SERVIÇO SOCIAL;2014;2;141;130;0;8;1
302;TEATRO;2014;2;204;169;8;21;8
676;TECNOLOGIA EM DESENVOLVIMENTO RURAL - EAD;2014;2;13;0;0;0;13
1071;ZOOTECNIA;2014;2;139;121;28;0;9
298;ADMINISTRAÇÃO;2015;1;1809;1567;147;76;51
1350;ADMINISTRAÇÃO PÚBLICA E SOCIAL;2015;1;31;31;31;0;1
299;AGRONOMIA;2015;1;529;468;52;22;20
300;ARQUITETURA E URBANISMO;2015;1;656;618;48;35;18
301;ARQUIVOLOGIA;2015;1;189;151;44;4;11
303;ARTES VISUAIS;2015;1;638;520;106;5;31
1289;BACHARELADO EM DESENVOLVIMENTO RURAL - EAD;2015;1;306;233;1;0;94
304;BIBLIOTECONOMIA;2015;1;401;338;40;16;18
361;BIOMEDICINA;2015;1;155;145;36;0;7
910;BIOTECNOLOGIA;2015;1;128;117;33;1;3
305;CIÊNCIA DA COMPUTAÇÃO;2015;1;700;613;86;39;20
306;CIÊNCIAS ATUARIAIS;2015;1;270;216;50;8;9
307;CIÊNCIAS BIOLÓGICAS;2015;1;615;516;45;21;28
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2015;1;78;75;0;3;1
308;CIÊNCIAS CONTÁBEIS;2015;1;867;732;89;57;19
309;CIÊNCIAS ECONÔMICAS;2015;1;870;745;111;42;42
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2015;1;1370;1299;152;5;11
312;CIÊNCIAS SOCIAIS;2015;1;1174;884;181;28;75
313;COMUNICAÇÃO SOCIAL;2015;1;450;403;38;58;10
805;DANÇA;2015;1;169;138;30;2;6
524;DESIGN;2015;1;100;69;7;13;17
1481;DESIGN DE PRODUTO;2015;1;195;182;22;0;0
1482;DESIGN VISUAL;2015;1;186;181;22;0;0
1330;EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA - LITORAL;2015;1;46;30;0;0;2
1336;EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA - PORTO ALEGRE;2015;1;24;10;0;0;0
314;EDUCAÇÃO FÍSICA;2015;1;893;752;100;42;40
315;ENFERMAGEM;2015;1;494;463;48;34;8
526;ENGENHARIA AMBIENTAL;2015;1;190;179;34;6;8
316;ENGENHARIA CARTOGRÁFICA E DE AGRIMENSURA;2015;1;210;164;40;3;14
317;ENGENHARIA CIVIL;2015;1;1120;1051;99;42;23
319;ENGENHARIA DE ALIMENTOS;2015;1;203;163;35;0;16
318;ENGENHARIA DE COMPUTAÇÃO;2015;1;358;333;57;9;9
714;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;2015;1;193;182;39;4;9
909;ENGENHARIA DE ENERGIA;2015;1;153;139;36;1;5
320;ENGENHARIA DE MATERIAIS;2015;1;232;204;42;9;14
321;ENGENHARIA DE MINAS;2015;1;190;159;30;6;5
322;ENGENHARIA DE PRODUÇÃO;2015;1;406;382;40;22;6
323;ENGENHARIA ELÉTRICA;2015;1;524;469;41;25;16
911;ENGENHARIA FÍSICA;2015;1;159;138;34;0;10
1077;ENGENHARIA HÍDRICA;2015;1;67;59;1;0;1
324;ENGENHARIA MECÂNICA;2015;1;826;746;74;36;34
325;ENGENHARIA METALÚRGICA;2015;1;362;297;64;5;21
326;ENGENHARIA QUÍMICA;2015;1;575;551;68;36;15
327;ESTATÍSTICA;2015;1;223;177;45;5;9
328;FARMÁCIA;2015;1;746;618;74;37;49
329;FILOSOFIA;2015;1;456;322;97;5;23
330;FÍSICA;2015;1;589;407;104;4;66
1764;FÍSICA - LICENCIATURA;2015;1;31;27;10;0;0
812;FISIOTERAPIA;2015;1;174;164;31;0;1
730;FONOAUDIOLOGIA;2015;1;139;120;24;0;4
331;GEOGRAFIA;2015;1;484;401;60;8;19
332;GEOLOGIA;2015;1;267;247;39;0;7
333;HISTÓRIA;2015;1;841;656;132;8;48
908;HISTÓRIA DA ARTE;2015;1;153;120;28;0;6
1332;INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA - LITORAL NORTE;2015;1;101;84;28;0;2
1489;JORNALISMO;2015;1;185;179;33;0;0
334;LETRAS;2015;1;1179;1010;193;49;48
803;LETRAS - INGLÊS - ENSINO A DISTÂNCIA - EAD;2015;1;1;0;0;0;1
335;MATEMÁTICA;2015;1;588;424;102;16;71
800;MATEMÁTICA - ENSINO A DISTÂNCIA - EAD;2015;1;1;0;0;0;1
336;MEDICINA;2015;1;894;882;68;71;0
337;MEDICINA VETERINÁRIA;2015;1;587;555;53;25;5
731;MUSEOLOGIA;2015;1;165;141;34;5;6
338;MÚSICA;2015;1;359;322;70;7;5
339;NUTRIÇÃO;2015;1;319;296;41;30;9
340;ODONTOLOGIA;2015;1;597;571;59;33;10
341;PEDAGOGIA;2015;1;588;491;76;42;20
582;PEDAGOGIA - EAD;2015;1;190;190;190;0;0
914;POLÍTICAS PÚBLICAS;2015;1;246;213;65;1;12
342;PSICOLOGIA;2015;1;431;374;39;15;17
343;QUÍMICA;2015;1;691;529;72;17;43
357;RELAÇÕES INTERNACIONAIS;2015;1;296;279;62;12;11
1490;RELAÇÕES PÚBLICAS;2015;1;190;179;25;0;0
806;SAÚDE COLETIVA;2015;1;255;212;27;3;14
907;SERVIÇO SOCIAL;2015;1;164;151;32;10;2
302;TEATRO;2015;1;218;181;43;2;6
1071;ZOOTECNIA;2015;1;154;123;24;0;7
298;ADMINISTRAÇÃO;2015;2;1815;1563;133;70;63
1350;ADMINISTRAÇÃO PÚBLICA E SOCIAL;2015;2;64;61;34;0;0
299;AGRONOMIA;2015;2;529;471;42;30;18
300;ARQUITETURA E URBANISMO;2015;2;660;617;57;32;19
301;ARQUIVOLOGIA;2015;2;191;156;17;10;12
303;ARTES VISUAIS;2015;2;638;524;36;62;26
1289;BACHARELADO EM DESENVOLVIMENTO RURAL - EAD;2015;2;212;194;0;0;23
304;BIBLIOTECONOMIA;2015;2;402;336;35;28;13
361;BIOMEDICINA;2015;2;153;142;5;17;6
910;BIOTECNOLOGIA;2015;2;126;106;2;12;7
305;CIÊNCIA DA COMPUTAÇÃO;2015;2;677;587;36;25;18
306;CIÊNCIAS ATUARIAIS;2015;2;266;194;13;10;16
307;CIÊNCIAS BIOLÓGICAS;2015;2;632;543;62;48;22
585;CIÊNCIAS BIOLÓGICAS - CECLIMAR;2015;2;94;89;20;12;4
308;CIÊNCIAS CONTÁBEIS;2015;2;851;705;60;52;33
309;CIÊNCIAS ECONÔMICAS;2015;2;873;735;87;42;43
310;CIÊNCIAS JURÍDICAS E SOCIAIS;2015;2;1566;1478;212;120;18
312;CIÊNCIAS SOCIAIS;2015;2;1097;783;25;47;66
313;COMUNICAÇÃO SOCIAL;2015;2;402;354;20;84;21
805;DANÇA;2015;2;169;136;8;12;9
524;DESIGN;2015;2;72;43;2;25;17
